Географска хијерархија - Округ,Географска хијерархија - Општина,Географска хијерархија - Основна школа,Школска година,Број ученика,Просек 6. разред,Просек 7. разред,Просек 8. разред,Просечан број бодова из ОШ,Просек бодова - Матерњи језик,Просек поена - Матерњи језик,Просек станд. скор - Матерњи језик,Просек бодова - Математика,Просек поена - Математика,Просек станд. скор - Математика,Просек бодова - Трећи тест,Просек поена - Трећи тест,Просек станд. скор - Трећи тест,Просек - завршни испит,Укупан просечан број поена
Нишавски управни округ,Медијана,"ОШ ""Ћеле-кула"", Ниш (Медијана)",2022/23,39,4.43,4.36,4.45,52.96,9.03,12.71,547,9.86,13.93,552,8.48,13.99,498,27.38,124.06
Нишавски управни округ,Медијана,"ОШ ""Доситеј Обрадовић"", Ниш (Медијана)",2022/23,45,4.51,4.41,4.53,53.78,8.73,12.48,542,8.98,12.82,525,9.97,16.61,566,27.68,120.94
Нишавски управни округ,Медијана,"ОШ ""Вожд Карађорђе"", Ниш (Медијана)",2022/23,82,4.58,4.55,4.61,54.97,9.47,13.46,565,9.73,13.83,550,9.83,16.34,551,29.03,117.00
Нишавски управни округ,Медијана,"ОШ ""Свети Сава"", Ниш (Медијана)",2022/23,119,4.67,4.63,4.77,56.26,8.63,12.26,537,9.87,14.06,555,9.40,15.69,539,27.89,115.84
Нишавски управни округ,Медијана,"ОШ ""Ратко Вукићевић"", Ниш (Медијана)",2022/23,97,4.64,4.45,4.49,54.31,9.30,13.29,561,10.05,14.36,562,10.00,16.66,563,29.35,115.61
Нишавски управни округ,Медијана,"ОШ ""Душан Радовић"", Ниш (Медијана)",2022/23,162,4.75,4.66,4.65,56.28,9.08,12.93,552,10.02,14.27,560,10.24,17.05,574,29.34,115.46
Нишавски управни округ,Медијана,"ОШ ""Учитељ Таса"" , Ниш (Медијана)",2022/23,105,4.67,4.60,4.68,55.82,8.70,12.28,537,9.66,13.68,546,9.03,14.97,522,27.38,110.86
Нишавски управни округ,Медијана,"ОШ ""Цар Константин"", Ниш (Медијана)",2022/23,132,4.64,4.67,4.73,56.17,9.72,13.89,575,9.47,13.52,542,9.25,15.41,524,28.43,109.62
Нишавски управни округ,Медијана,"ОШ ""Др Зоран Ђинђић"", Брзи Брод",2022/23,46,4.37,4.37,4.45,52.77,9.17,13.10,556,9.78,13.98,553,8.88,14.79,522,27.83,98.52
Нишавски управни округ,Медијана,"ОШ ""Радоје Домановић"", Ниш (Медијана)",2022/23,78,4.07,3.97,4.11,48.61,6.57,9.09,462,8.07,11.33,490,7.50,12.32,442,22.15,78.17
Нишавски управни округ,Пантелеј,"ОШ ""Карађорђе"", Горњи Матејевац",2022/23,21,4.27,4.16,4.38,51.24,8.70,12.43,541,7.73,11.05,483,8.74,14.57,523,25.18,146.62
Нишавски управни округ,Пантелеј,"ОШ ""Његош"", Ниш (Пантелеј)",2022/23,66,3.93,3.85,4.04,47.26,8.97,12.96,553,8.58,13.88,551,8.57,14.88,511,26.12,114.71
Нишавски управни округ,Пантелеј,"ОШ ""Стефан Немања"", Ниш (Пантелеј)",2022/23,151,4.50,4.43,4.47,53.59,7.97,11.33,515,8.64,12.30,513,8.56,14.24,487,25.17,105.72
Нишавски управни округ,Пантелеј,"ОШ ""Чегар"", Ниш (Пантелеј)",2022/23,104,4.41,4.47,4.48,53.45,8.35,11.89,528,9.21,13.16,533,8.74,14.51,499,26.30,100.58
Нишавски управни округ,Пантелеј,"ОШ ""Мирослав Антић"", Ниш (Пантелеј)",2022/23,122,4.46,4.33,4.41,52.79,8.48,12.10,533,8.32,11.84,502,9.25,15.42,537,26.05,98.49
Нишавски управни округ,Пантелеј,"ОШ ""Јован Јовановић Змај"", Малча",2022/23,6,4.34,4.32,4.52,52.71,7.23,10.33,492,7.93,11.33,490,8.90,14.83,537,24.07,76.78
Нишавски управни округ,Пантелеј,"ОШ ""Стеван Синђелић"", Каменица",2022/23,10,4.24,4.04,4.31,50.32,7.18,10.25,490,7.35,10.50,470,8.34,13.90,490,22.87,74.45
Нишавски управни округ,Палилула (Ниш),"Гимназија ""Светозар Марковић"", Ниш (Палилула)",2022/23,17,4.98,4.93,4.91,59.27,11.36,16.24,630,13.46,19.24,679,11.44,19.06,597,36.26,244.06
Нишавски управни округ,Палилула (Ниш),"ОШ ""Бубањски хероји"", Ниш (Палилула)",2022/23,85,4.39,4.40,4.51,53.23,7.98,11.34,515,9.43,13.42,540,9.38,15.59,532,26.79,102.63
Нишавски управни округ,Палилула (Ниш),"ОШ ""Десанка Максимовић"", Чокот",2022/23,96,4.19,4.18,4.24,50.41,6.97,9.73,477,7.48,10.66,474,7.79,12.95,471,22.24,94.04
Нишавски управни округ,Палилула (Ниш),"ОШ ""Краљ Петар I"", Ниш (Палилула)",2022/23,121,4.30,4.24,4.30,51.40,7.65,10.93,506,8.87,12.68,522,8.86,14.76,515,25.39,88.72
Нишавски управни округ,Палилула (Ниш),"ОШ ""Бранко Миљковић"", Ниш (Палилула)",2022/23,97,4.34,4.20,4.24,51.10,7.79,11.16,511,8.62,12.16,509,8.83,14.61,515,25.24,88.12
Нишавски управни округ,Палилула (Ниш),"ОШ ""Коле Рашић"", Ниш (Палилула)",2022/23,67,4.48,4.36,4.40,52.96,7.27,10.38,493,8.03,11.48,493,8.37,13.95,493,23.67,86.34
Нишавски управни округ,Палилула (Ниш),"ОШ ""Сретен Младеновић Мика"", Ниш (Палилула)",2022/23,28,4.04,3.96,3.99,47.97,7.28,10.39,493,6.93,9.89,455,7.46,12.43,447,21.66,77.17
Нишавски управни округ,Палилула (Ниш),"ОШ ""Бранко Радичевић"", Габровац",2022/23,10,4.37,4.13,4.23,50.95,6.58,8.67,452,6.27,8.33,418,7.62,11.89,443,20.47,73.20
Нишавски управни округ,Палилула (Ниш),"Специјална школа са домом ученика ""Бубањ"", Ниш (Палилула)",2022/23,18,4.71,4.63,4.80,56.55,10.58,,,10.85,,,8.82,,,30.24,
Нишавски управни округ,Палилула (Ниш),"Школа за основно и средње образовање ""Царица Јелена"", Ниш (Палилула)",2022/23,6,4.64,4.74,4.59,55.87,11.67,,,12.83,,,10.20,,,34.70,
Нишавски управни округ,Црвени крст,"ОШ ""Војислав Илић Млађи"", Хум",2022/23,13,4.59,4.67,4.71,55.91,8.51,11.58,521,9.69,13.33,538,9.78,16.00,563,27.98,98.73
Нишавски управни округ,Црвени крст,"ОШ ""Први мај"", Трупале",2022/23,29,4.11,3.97,4.09,48.71,8.69,11.23,513,9.53,12.46,517,9.25,14.54,505,27.47,95.13
Нишавски управни округ,Црвени крст,"ОШ ""Иво Андрић"", Ниш (Црвени крст)",2022/23,107,4.31,4.14,4.24,50.77,6.47,9.15,464,7.22,10.22,463,8.10,13.44,480,21.79,85.33
Нишавски управни округ,Црвени крст,"ОШ ""Милан Ракић"", Медошевац",2022/23,55,4.06,3.89,4.10,48.23,6.91,9.72,477,7.97,11.27,488,8.17,13.52,478,23.06,85.33
Нишавски управни округ,Црвени крст,"ОШ ""Бранислав Нушић"", Доња Трнава",2022/23,30,3.89,3.88,4.16,47.74,7.84,11.02,508,9.63,13.28,536,10.27,16.87,572,27.74,84.67
Нишавски управни округ,Црвени крст,"ОШ ""Вук Караџић"", Ниш (Црвени крст)",2022/23,21,3.40,3.36,3.48,40.99,3.92,5.60,381,5.23,7.48,397,5.44,9.07,351,14.59,70.72
Нишавски управни округ,Црвени крст,"ОШ ""Лела Поповић"", Миљковац",2022/23,81,3.50,3.59,3.88,43.89,8.56,8.00,437,6.36,7.88,407,7.89,12.08,435,22.81,65.22
Нишавски управни округ,Нишка Бања,"ОШ ""Иван Горан Ковачић"", Нишка Бања",2022/23,60,4.36,4.24,4.33,51.74,9.91,14.06,579,10.34,14.75,571,10.05,16.79,559,30.30,87.30
Нишавски управни округ,Нишка Бања,"ОШ ""Ђура Јакшић"", Јелашница",2022/23,17,4.36,4.27,4.34,51.90,6.63,9.47,471,9.31,13.29,537,8.61,14.35,502,24.55,79.99
Нишавски управни округ,Нишка Бања,"ОШ ""Надежда Петровић"", Сићево",2022/23,139,3.32,3.15,3.38,39.40,8.30,9.33,468,6.30,9.22,439,8.38,13.00,468,22.98,72.52
Нишавски управни округ,Алексинац,"ОШ ""Вожд Карађорђе"", Алексинац",2022/23,69,4.18,4.00,4.05,48.93,7.07,10.02,484,10.23,14.57,567,9.50,15.79,537,26.80,89.92
Нишавски управни округ,Алексинац,"ОШ ""Стојан Живковић Столе"", Трњане",2022/23,34,3.91,3.87,3.97,46.98,8.52,11.77,525,8.98,12.38,515,9.47,15.58,525,26.97,88.75
Нишавски управни округ,Алексинац,"ОШ ""Љупче Николић"", Алексинац",2022/23,113,4.25,4.12,4.13,49.98,8.06,11.44,517,9.06,12.88,527,9.08,15.12,530,26.20,77.95
Нишавски управни округ,Алексинац,"ОШ ""Аца Синадиновић"", Лоћика",2022/23,40,3.90,3.86,4.03,47.15,7.07,9.96,483,7.60,10.70,475,9.00,14.95,528,23.67,73.03
Нишавски управни округ,Алексинац,"ОШ ""Вук Караџић"", Житковац",2022/23,87,3.63,3.62,3.79,44.17,5.89,8.25,443,5.97,8.39,419,6.71,11.49,436,18.86,72.77
Нишавски управни округ,Алексинац,"ОШ ""Свети Сава"", Суботинац",2022/23,9,4.25,4.29,4.41,51.80,6.14,8.78,455,7.00,10.00,458,7.07,11.78,435,20.21,72.02
Нишавски управни округ,Алексинац,"ОШ ""Јован Јовановић Змај"", Алексиначки Рудник",2022/23,44,3.51,3.56,3.68,42.97,7.65,9.75,478,7.16,10.92,480,7.43,12.50,457,22.24,71.27
Нишавски управни округ,Алексинац,"ОШ ""Десанка Максимовић"", Катун",2022/23,21,4.06,3.88,4.20,48.55,6.58,8.88,457,5.55,7.33,394,7.31,12.10,444,19.45,67.77
Нишавски управни округ,Алексинац,"Основна школа за ученике са сметњама у развоју и инвалидитетом ""Смех и суза"", Алексинац",2022/23,4,3.89,3.99,3.85,46.91,8.93,,,6.65,,,9.23,,,24.80,
Нишавски управни округ,Гаџин Хан,"ОШ ""Витко и Света"", Гаџин Хан",2022/23,38,4.04,4.01,4.04,48.36,6.86,9.80,479,7.57,10.82,477,7.44,12.41,460,21.88,77.65
Нишавски управни округ,Сврљиг,"ОШ ""Добрила Стамболић"", Сврљиг",2022/23,78,4.04,3.96,4.00,48.00,6.59,9.24,466,7.31,10.20,463,8.45,13.95,497,22.36,74.88
Нишавски управни округ,Ражањ,"ОШ ""Иван Вушовић"", Ражањ",2022/23,30,3.90,3.81,3.90,46.42,6.42,9.17,464,6.62,9.45,445,8.65,14.42,493,21.68,75.14
Нишавски управни округ,Ражањ,"ОШ ""Вук Караџић"", Витошевац",2022/23,22,4.41,4.08,4.13,50.51,7.33,10.48,495,7.16,10.23,463,8.07,13.45,472,22.57,73.08
Нишавски управни округ,Мерошина,"ОШ ""Јастребачки партизани"", Мерошина",2022/23,98,3.95,3.86,3.91,46.90,5.53,7.76,431,6.49,9.26,440,7.00,11.67,433,19.01,68.21
Нишавски управни округ,Дољевац,"ОШ ""Вук Караџић"", Дољевац",2022/23,187,3.97,3.80,3.87,46.60,5.76,8.19,441,6.56,9.35,442,6.95,11.55,424,19.28,67.63
Јужнобачки управни округ,Нови Сад,"Гимназија Јован Јовановић Змај, Нови Сад",2022/23,42,4.97,4.81,4.79,58.29,11.21,16.01,625,12.90,18.43,659,10.79,17.98,570,34.89,266.92
Јужнобачки управни округ,Нови Сад,"ОШ ""Мирослав Мика Антић"", Нови Сад",2022/23,16,4.72,4.63,4.57,55.67,8.95,12.37,539,11.03,16.07,603,10.71,17.93,589,30.68,195.49
Јужнобачки управни округ,Нови Сад,"ОШ ""Јован Поповић"", Нови Сад",2022/23,124,4.71,4.58,4.57,55.39,9.77,13.83,573,10.29,14.62,568,10.02,16.66,567,30.08,131.09
Јужнобачки управни округ,Нови Сад,"ОШ ""Ђорђе Натошевић"", Нови Сад",2022/23,123,4.61,4.50,4.59,54.81,8.63,12.33,538,9.71,13.87,550,9.99,16.65,558,28.33,126.87
Јужнобачки управни округ,Нови Сад,"ОШ ""Жарко Зрењанин"", Нови Сад",2022/23,154,4.71,4.53,4.43,54.68,9.90,14.11,580,10.52,15.01,578,10.37,17.27,573,30.79,117.78
Јужнобачки управни округ,Нови Сад,"ОШ ""Коста Трифковић"", Нови Сад",2022/23,166,4.52,4.33,4.37,52.87,9.26,13.18,558,9.67,13.81,549,9.55,15.88,543,28.48,117.60
Јужнобачки управни округ,Нови Сад,"ОШ ""Ђура Даничић"", Нови Сад",2022/23,71,4.77,4.69,4.72,56.69,9.25,13.22,559,10.13,14.46,565,9.90,16.51,567,29.28,115.66
Јужнобачки управни округ,Нови Сад,"ОШ ""Соња Маринковић"", Нови Сад",2022/23,104,4.55,4.43,4.48,53.83,8.41,12.01,531,9.14,13.06,531,9.11,15.18,522,26.66,114.91
Јужнобачки управни округ,Нови Сад,"ОШ ""Прва војвођанска бригада"", Нови Сад",2022/23,179,4.54,4.46,4.50,53.98,9.48,13.46,565,11.34,16.17,605,10.17,16.94,575,30.97,112.50
Јужнобачки управни округ,Нови Сад,"ОШ ""Бранко Радичевић"", Нови Сад",2022/23,70,4.61,4.36,4.35,53.26,8.33,11.90,529,9.80,13.99,553,9.53,15.89,532,27.66,112.37
Јужнобачки управни округ,Нови Сад,"ОШ ""Петефи Шандор"", Нови Сад",2022/23,171,4.46,4.29,4.32,52.29,9.22,13.13,558,9.64,13.75,547,9.77,16.27,549,28.63,106.60
Јужнобачки управни округ,Нови Сад,"ОШ ""Светозар Марковић Тоза"", Нови Сад",2022/23,225,4.51,4.33,4.36,52.82,9.78,13.90,575,10.16,14.44,564,10.03,16.67,560,29.97,105.11
Јужнобачки управни округ,Нови Сад,"ОШ ""Јожеф Атила"", Нови Сад",2022/23,140,4.26,4.21,4.27,50.97,7.22,10.18,489,7.37,10.45,469,8.08,13.42,469,22.67,103.60
Јужнобачки управни округ,Нови Сад,"ОШ ""Иво Лола Рибар"", Нови Сад",2022/23,130,4.47,4.23,4.25,51.82,8.20,11.66,523,8.86,12.64,521,8.60,14.29,504,25.66,102.75
Јужнобачки управни округ,Нови Сад,"ОШ ""Тврђава"", Петроварадин",2022/23,10,4.60,4.65,4.55,55.20,9.91,13.50,566,9.66,13.22,535,9.90,16.17,550,29.47,102.72
Јужнобачки управни округ,Нови Сад,"ОШ ""Милош Црњански"", Нови Сад",2022/23,145,4.47,4.28,4.32,52.29,8.63,12.30,537,9.97,14.23,559,9.58,15.94,551,28.18,102.40
Јужнобачки управни округ,Нови Сад,"ОШ ""Иван Гундулић"", Нови Сад",2022/23,63,4.32,4.17,4.20,50.80,8.28,11.53,519,9.03,12.62,520,9.02,14.85,523,26.33,102.07
Јужнобачки управни округ,Нови Сад,"ОШ ""Никола Тесла"", Нови Сад",2022/23,128,4.49,4.27,4.40,52.65,8.79,12.46,542,9.97,14.21,559,9.14,15.22,517,27.90,99.26
Јужнобачки управни округ,Нови Сад,"ОШ ""Васа Стајић"", Нови Сад",2022/23,99,4.56,4.48,4.42,53.81,9.24,13.18,559,9.81,14.02,554,9.57,15.92,547,28.63,98.01
Јужнобачки управни округ,Нови Сад,"ОШ ""Јован Дучић"", Петроварадин",2022/23,122,4.25,4.08,4.08,49.62,8.25,11.43,517,9.24,12.94,528,8.87,14.65,512,26.36,95.43
Јужнобачки управни округ,Нови Сад,"ОШ ""Вук Караџић"", Нови Сад",2022/23,56,4.15,3.93,4.01,48.38,7.85,11.06,509,8.33,11.39,491,8.88,14.70,514,25.06,94.19
Јужнобачки управни округ,Нови Сад,"ОШ ""Марија Трандафил"", Ветерник",2022/23,110,4.37,4.34,4.39,52.38,7.75,10.99,507,9.19,13.05,531,9.01,14.91,521,25.95,93.81
Јужнобачки управни округ,Нови Сад,"ОШ ""Михајло Пупин"", Ветерник",2022/23,109,4.35,4.29,4.39,52.13,8.08,11.54,520,9.44,13.49,541,8.64,14.40,504,26.16,91.92
Јужнобачки управни округ,Нови Сад,"ОШ ""Доситеј Обрадовић"", Нови Сад",2022/23,114,4.46,4.27,4.24,51.92,8.76,12.44,541,8.33,11.86,503,8.51,14.12,494,25.59,90.36
Јужнобачки управни округ,Нови Сад,"ОШ ""Десанка Максимовић"", Футог",2022/23,84,4.16,4.09,4.11,49.44,7.55,10.79,502,9.59,13.70,546,8.85,14.75,503,25.99,87.78
Јужнобачки управни округ,Нови Сад,"ОШ ""Јован Јовановић Змај"", Сремска Каменица",2022/23,157,4.28,4.13,4.14,50.21,7.69,11.02,508,8.48,12.15,509,9.48,15.83,553,25.65,87.71
Јужнобачки управни округ,Нови Сад,"ОШ ""Вељко Петровић"", Бегеч",2022/23,35,4.01,3.84,3.92,47.06,8.01,11.65,522,8.59,12.43,516,8.14,13.44,470,24.74,87.13
Јужнобачки управни округ,Нови Сад,"Школа за основно образовање и васпитање одраслих ""Свети Сава"", Нови Сад",2022/23,29,3.23,3.61,3.64,41.89,11.10,,,9.28,,,9.02,,,29.40,83.84
Јужнобачки управни округ,Нови Сад,"ОШ ""Ђура Јакшић"", Каћ",2022/23,124,4.43,4.37,4.39,52.72,8.98,12.80,549,10.16,14.50,565,9.75,16.26,540,28.88,83.39
Јужнобачки управни округ,Нови Сад,"ОШ ""Алекса Шантић"", Степановићево",2022/23,14,4.53,4.37,4.40,53.17,8.35,11.93,529,9.63,13.75,547,10.46,17.43,590,28.43,82.23
Јужнобачки управни округ,Нови Сад,"ОШ ""Свети Кирило и Методије"", Нови Сад",2022/23,21,4.73,4.61,4.69,56.09,6.15,8.79,455,7.57,10.81,477,7.51,12.52,457,21.23,82.23
Јужнобачки управни округ,Нови Сад,"ОШ ""Мирослав Антић"", Футог",2022/23,107,4.25,4.19,4.25,50.73,8.95,12.82,549,9.49,13.57,543,9.22,15.39,538,27.65,81.48
Јужнобачки управни округ,Нови Сад,"ОШ ""Лаза Костић"", Ковиљ",2022/23,48,4.12,3.92,3.93,47.89,5.53,8.01,435,6.17,8.81,429,7.81,13.01,458,19.51,80.20
Јужнобачки управни округ,Нови Сад,"ОШ ""Вељко Влаховић"", Нови Сад",2022/23,14,3.89,4.03,4.25,48.69,7.85,8.90,458,10.78,14.00,554,10.16,15.90,556,28.78,78.77
Јужнобачки управни округ,Нови Сад,"ОШ ""Душан Радовић"", Нови Сад",2022/23,164,4.10,4.01,4.07,48.75,6.72,9.56,474,7.11,10.14,461,8.00,13.33,476,21.86,78.37
Јужнобачки управни округ,Нови Сад,"ОШ ""Иво Андрић"", Будисава",2022/23,29,4.27,4.24,4.26,51.07,7.56,10.79,507,9.51,13.59,544,9.24,15.40,531,26.30,77.38
Јужнобачки управни округ,Нови Сад,"ОШ ""Људовит Штур"", Кисач",2022/23,39,4.31,4.13,4.12,50.21,6.44,9.04,464,7.89,11.17,486,8.28,13.74,480,22.61,73.33
Јужнобачки управни округ,Нови Сад,"ОШ ""Јуниор"", Нови Сад",2022/23,11,4.87,4.83,4.73,57.74,7.06,10.09,486,8.59,12.27,512,8.15,13.59,458,23.81,73.20
Јужнобачки управни округ,Нови Сад,"ОШ ""22. август"", Буковац",2022/23,22,4.28,4.15,4.10,50.09,7.00,10.00,484,7.89,11.27,488,7.64,12.73,469,22.53,71.72
Јужнобачки управни округ,Нови Сад,"ОШ ""Свети Сава"", Руменка",2022/23,64,4.08,3.86,3.81,47.01,6.31,8.89,458,7.71,11.06,483,9.27,15.48,531,23.29,70.91
Јужнобачки управни округ,Нови Сад,"Школа за основно и средње образовање ""Милан Петровић"", Нови Сад",2022/23,56,4.68,4.72,4.86,57.05,13.58,,,12.91,,,11.58,,,38.07,
Јужнобачки управни округ,Сремски Карловци,"ОШ ""23. октобар"", Сремски Карловци",2022/23,65,3.98,4.00,4.03,48.07,6.48,9.14,464,7.64,10.77,476,8.56,14.19,489,22.68,98.32
Јужнобачки управни округ,Темерин,"ОШ ""Кокаи Имре"", Темерин",2022/23,47,4.32,4.27,4.23,51.32,7.86,11.23,528,8.20,11.71,499,8.00,13.34,474,24.07,119.77
Јужнобачки управни округ,Темерин,"ОШ ""Данило Зеленовић"", Сириг",2022/23,25,4.33,4.00,4.13,49.84,7.29,10.42,494,7.45,10.64,473,8.48,14.14,499,23.23,87.56
Јужнобачки управни округ,Темерин,"ОШ ""Петар Кочић"", Темерин",2022/23,136,3.94,3.84,3.98,47.02,8.82,12.53,543,9.69,13.75,548,9.85,16.38,555,28.36,85.80
Јужнобачки управни округ,Темерин,"ОШ ""Славко Родић"", Бачки Јарак",2022/23,52,4.28,4.26,4.32,51.42,8.57,12.13,533,9.71,13.77,548,10.25,17.09,578,28.53,85.50
Јужнобачки управни округ,Бачки Петровац,"ОШ ""Жарко Зрењанин"", Маглић",2022/23,24,4.14,3.92,4.03,48.38,9.11,13.02,555,10.11,14.44,564,10.43,17.38,601,29.65,100.94
Јужнобачки управни округ,Бачки Петровац,"ОШ ""Јан Чајак"", Бачки Петровац",2022/23,61,4.17,4.16,4.24,50.30,9.16,13.00,560,8.71,12.37,514,8.01,13.26,481,25.88,88.08
Јужнобачки управни округ,Бачки Петровац,"ОШ ""Јан Амос Коменски"", Кулпин",2022/23,24,4.21,4.06,4.08,49.41,6.37,8.91,461,9.33,13.24,535,9.30,15.30,522,25.01,75.20
Јужнобачки управни округ,Бачки Петровац,"ОШ ""Јозеф Марчок Драгутин"", Гложан",2022/23,23,4.37,4.20,4.31,51.53,7.26,10.24,494,6.88,9.71,451,8.44,13.67,470,22.58,74.32
Јужнобачки управни округ,Србобран,"ОШ ""Јован Јовановић Змај"", Србобран",2022/23,63,4.14,3.99,4.05,48.72,9.52,13.37,571,10.66,15.54,590,8.97,14.86,518,29.15,95.05
Јужнобачки управни округ,Србобран,"ОШ ""Петар Драпшин"", Турија",2022/23,26,4.09,4.02,4.10,48.82,5.96,7.69,430,6.41,8.58,424,7.29,11.75,436,19.66,82.56
Јужнобачки управни округ,Србобран,"ОШ ""Вук Караџић"", Србобран",2022/23,50,4.08,3.98,4.06,48.49,7.62,10.11,486,7.46,10.01,458,9.14,14.84,519,24.22,72.49
Јужнобачки управни округ,Србобран,"ОШ ""Жарко Зрењанин Уча"", Надаљ",2022/23,20,3.71,3.57,3.58,43.43,6.21,7.83,433,6.81,8.94,433,8.34,13.42,482,21.36,65.88
Јужнобачки управни округ,Бач,"ОШ ""Вук Караџић"", Бач",2022/23,52,4.17,4.12,4.15,49.76,6.91,9.65,479,9.32,13.07,531,8.87,14.69,521,25.10,86.80
Јужнобачки управни округ,Бач,"ОШ ""Свети Сава"", Плавна",2022/23,7,4.34,4.34,4.56,52.97,11.00,15.50,613,11.15,15.83,597,10.71,17.50,574,32.86,85.10
Јужнобачки управни округ,Бач,"ОШ ""Моша Пијаде"", Бачко Ново Село",2022/23,6,4.74,4.50,4.49,54.91,7.70,11.00,507,8.17,11.67,498,8.70,14.50,494,24.57,79.47
Јужнобачки управни округ,Бач,"ОШ ""Јан Колар"", Селенча",2022/23,15,4.31,4.24,4.31,51.45,6.65,9.50,476,7.68,10.97,481,8.10,13.50,465,22.43,74.75
Јужнобачки управни округ,Бач,"ОШ ""Алекса Шантић"", Вајска",2022/23,22,3.82,3.57,3.66,44.19,5.30,6.89,411,5.65,7.37,395,7.13,11.11,413,18.08,67.13
Јужнобачки управни округ,Врбас,"ОШ ""20. октобар"", Врбас",2022/23,66,3.83,3.65,3.65,44.50,7.46,10.10,486,8.90,12.68,522,8.05,13.45,468,24.41,104.11
Јужнобачки управни округ,Врбас,"ОШ ""Петар Петровић Његош"", Врбас",2022/23,43,4.58,4.42,4.50,54.00,7.19,10.27,490,9.24,13.20,535,9.21,15.35,519,25.63,79.87
Јужнобачки управни округ,Врбас,"ОШ  ""Братство-јединство"", Куцура",2022/23,50,4.37,4.15,4.23,51.01,6.67,9.53,462,5.94,8.48,421,6.67,11.12,410,19.28,79.21
Јужнобачки управни округ,Врбас,"ОШ ""Јован Јовановић Змај"", Змајево",2022/23,32,4.27,4.08,4.11,49.84,8.13,11.61,521,9.81,14.02,554,8.60,14.33,502,26.53,77.65
Јужнобачки управни округ,Врбас,"ОШ ""Светозар Милетић"", Врбас",2022/23,83,4.24,4.09,4.10,49.73,7.13,10.02,484,7.81,11.18,486,8.66,14.42,507,23.60,75.32
Јужнобачки управни округ,Врбас,"ОШ ""Вук Караџић"", Бачко Добро Поље",2022/23,24,4.37,4.04,4.21,50.47,6.62,9.46,471,9.10,13.00,530,8.45,14.08,500,24.17,74.25
Јужнобачки управни округ,Врбас,"ОШ  ""Братство-јединство"", Врбас",2022/23,44,4.26,4.17,4.16,50.34,7.75,10.05,485,8.00,10.41,468,7.97,12.93,469,23.72,72.72
Јужнобачки управни округ,Врбас,"ОШ ""Бранко Радичевић"", Равно Село",2022/23,33,4.06,3.96,4.09,48.43,6.10,8.47,448,7.01,9.89,455,8.99,14.89,530,22.10,71.86
Јужнобачки управни округ,Врбас,"ОШ ""Бранко Радичевић"", Савино Село",2022/23,28,4.09,3.75,3.82,46.68,5.54,7.91,435,6.43,9.18,438,7.70,12.84,467,19.67,66.44
Јужнобачки управни округ,Беочин,"ОШ ""Јован Грчић Миленко"", Беочин",2022/23,115,3.95,3.71,3.82,45.90,6.38,8.93,459,8.38,11.82,501,8.30,13.68,486,23.06,80.63
Јужнобачки управни округ,Беочин,"ОШ ""Јован Поповић"", Сусек",2022/23,19,4.01,4.02,4.08,48.41,5.16,7.37,423,4.49,6.42,372,7.01,11.68,432,16.66,64.99
Јужнобачки управни округ,Бачка Паланка,"ОШ ""15. октобар"", Пивнице",2022/23,24,4.33,4.26,4.28,51.50,7.63,10.34,495,7.53,10.27,464,8.36,13.57,465,23.51,91.73
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Алекса Шантић"", Гајдобра",2022/23,33,4.09,3.98,3.93,48.00,7.00,10.00,484,9.84,14.06,555,10.51,17.52,595,27.35,87.56
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Здравко Челар"", Челарево",2022/23,31,4.40,4.34,4.33,52.26,6.31,9.02,461,8.77,12.53,519,8.65,14.42,488,23.74,85.32
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Жарко Зрењанин"", Обровац",2022/23,33,3.84,3.76,3.78,45.51,7.42,10.61,498,7.68,10.97,481,8.70,14.50,506,23.80,78.10
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Десанка Максимовић"", Бачка Паланка",2022/23,64,4.13,3.85,3.95,47.69,7.50,10.72,501,10.78,15.41,587,8.24,13.73,484,26.52,77.56
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Вук Караџић"", Бачка Паланка",2022/23,135,4.21,3.97,3.91,48.34,6.51,8.91,458,7.60,10.63,473,8.17,13.32,488,22.29,74.66
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Свети Сава"", Бачка Паланка",2022/23,97,4.02,3.82,3.88,46.88,6.48,9.26,466,6.77,9.66,450,8.16,13.60,476,21.40,73.46
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Милета Протић"", Товаришево",2022/23,31,3.76,3.79,3.96,46.04,6.54,8.60,451,6.11,9.33,442,7.20,12.63,457,19.85,72.26
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Браћа Новаков"", Силбаш",2022/23,54,3.99,3.90,3.86,46.99,6.35,8.70,456,8.17,11.56,495,8.16,13.38,491,22.67,72.06
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Бранко Ћопић"", Младеново",2022/23,14,3.92,3.98,3.92,47.28,7.00,9.38,469,7.25,10.08,460,7.97,13.00,465,22.22,70.27
Јужнобачки управни округ,Бачка Паланка,"ОШ ""Херој Пинки"", Бачка Паланка",2022/23,3,4.92,4.98,5.00,59.60,7.35,,,7.47,,,8.60,,,23.42,
